name;length;10;20;30;40;50
>hsa-mir-124-3 MI0000445 Homo sapiens miR-124-3 stem-loop;87;15;15;16;16;16;
>hsa-mir-516b-2 MI0003167 Homo sapiens miR-516b-2 stem-loop;85;8;7;10;11;16;
>random_seq_from_cds__NO_27561;75;33;36;38;40;43;
>random_seq_from_cds__NO_27568;110;70;69;71;72;74;
>random_seq_from_cds__NO_25382;75;39;38;41;41;43;
>random_seq_from_cds__NO_28890;84;39;40;42;49;54;
>random_seq_from_cds__NO_61431;72;21;21;23;32;33;
>random_seq_from_cds__NO_62762;69;28;27;28;23;28;
>hsa-mir-584 MI0003591 Homo sapiens miR-584 stem-loop;97;10;10;10;13;14;
>hsa-mir-4496 MI0016858 Homo sapiens miR-4496 stem-loop;61;20;20;25;28;28;
>random_seq_from_cds__NO_4997;81;37;37;43;55;55;
>random_seq_from_cds__NO_52967;74;30;35;33;41;45;
>random_seq_from_cds__NO_52966;88;54;55;55;51;50;
>hsa-mir-3121 MI0014137 Homo sapiens miR-3121 stem-loop;77;4;4;4;5;6;
>random_seq_from_cds__NO_41896;110;45;46;50;62;72;
>random_seq_from_cds__NO_18636;94;60;60;59;61;65;
>random_seq_from_cds__NO_41898;69;23;23;23;28;30;
>random_seq_from_cds__NO_24074;77;34;40;41;50;53;
>hsa-mir-4507 MI0016871 Homo sapiens miR-4507 stem-loop;52;24;21;22;20;18;
>hsa-mir-6718 MI0022553 Homo sapiens miR-6718 stem-loop;80;1;1;1;4;5;
>random_seq_from_cds__NO_31614;110;63;66;74;77;80;
>hsa-mir-4438 MI0016781 Homo sapiens miR-4438 stem-loop;93;1;1;1;3;4;
>random_seq_from_cds__NO_44933;100;49;45;49;62;71;
>random_seq_from_cds__NO_38255;86;22;30;30;38;42;
>hsa-mir-5588 MI0019147 Homo sapiens miR-5588 stem-loop;63;4;5;4;6;5;
>random_seq_from_cds__NO_44938;72;38;40;42;46;44;
>hsa-mir-1238 MI0006328 Homo sapiens miR-1238 stem-loop;83;27;33;36;49;49;
>random_seq_from_cds__NO_54723;87;42;39;39;50;56;
>hsa-mir-100 MI0000102 Homo sapiens miR-100 stem-loop;80;24;23;23;29;35;
>random_seq_from_cds__NO_39109;97;62;64;65;68;70;
>random_seq_from_cds__NO_20975;81;47;52;57;54;58;
>hsa-mir-4472-1 MI0016823 Homo sapiens miR-4472-1 stem-loop;80;11;13;15;19;26;
>hsa-mir-1185-2 MI0003821 Homo sapiens miR-1185-2 stem-loop;86;7;8;9;13;16;
>hsa-mir-3924 MI0016432 Homo sapiens miR-3924 stem-loop;81;12;13;14;14;15;
>hsa-mir-99a MI0000101 Homo sapiens miR-99a stem-loop;81;11;12;12;10;13;
>random_seq_from_cds__NO_28457;88;45;52;55;51;54;
>hsa-mir-4705 MI0017338 Homo sapiens miR-4705 stem-loop;71;1;1;1;3;4;
>hsa-mir-4723 MI0017359 Homo sapiens miR-4723 stem-loop;81;9;9;9;11;17;
>hsa-mir-4776-1 MI0017419 Homo sapiens miR-4776-1 stem-loop;80;2;2;2;3;3;
>hsa-mir-3176 MI0014210 Homo sapiens miR-3176 stem-loop;90;23;24;30;25;26;
>hsa-mir-934 MI0005756 Homo sapiens miR-934 stem-loop;83;3;3;3;3;4;
>random_seq_from_cds__NO_18642;73;24;25;35;37;41;
>hsa-mir-5095 MI0018001 Homo sapiens miR-5095 stem-loop;88;3;4;5;6;6;
>hsa-mir-4465 MI0016816 Homo sapiens miR-4465 stem-loop;70;1;1;1;1;1;
>hsa-mir-5001 MI0017867 Homo sapiens miR-5001 stem-loop;100;24;27;28;34;36;
>hsa-mir-586 MI0003594 Homo sapiens miR-586 stem-loop;97;9;9;9;10;9;
>hsa-mir-4768 MI0017409 Homo sapiens miR-4768 stem-loop;74;5;5;5;7;11;
>hsa-mir-2113 MI0003939 Homo sapiens miR-2113 stem-loop;91;7;12;14;16;19;
>random_seq_from_cds__NO_52523;68;25;29;30;32;31;
>hsa-mir-181b-2 MI0000683 Homo sapiens miR-181b-2 stem-loop;89;12;12;13;20;35;
>random_seq_from_cds__NO_54703;87;27;27;34;50;55;
>random_seq_from_cds__NO_32936;87;51;54;56;64;65;
>hsa-mir-4433 MI0016773 Homo sapiens miR-4433 stem-loop;81;5;5;5;6;6;
>random_seq_from_cds__NO_27592;70;21;25;28;33;36;
>hsa-mir-3200 MI0014249 Homo sapiens miR-3200 stem-loop;85;12;13;14;28;37;
>hsa-mir-203a MI0000283 Homo sapiens miR-203a stem-loop;110;17;17;18;20;23;
>hsa-mir-4306 MI0015836 Homo sapiens miR-4306 stem-loop;91;22;24;28;46;55;
>hsa-mir-4252 MI0015864 Homo sapiens miR-4252 stem-loop;63;9;10;13;23;27;
>random_seq_from_cds__NO_57001;101;67;68;73;72;76;
>hsa-mir-4770 MI0017411 Homo sapiens miR-4770 stem-loop;58;6;8;10;17;28;
>hsa-mir-93 MI0000095 Homo sapiens miR-93 stem-loop;80;7;7;8;16;22;
>hsa-mir-6087 MI0020364 Homo sapiens miR-6087 stem-loop;49;22;25;27;37;44;
>random_seq_from_cds__NO_7638;92;62;60;68;74;65;
>hsa-mir-646 MI0003661 Homo sapiens miR-646 stem-loop;94;52;51;53;61;65;
>hsa-mir-496 MI0003136 Homo sapiens miR-496 stem-loop;102;12;15;17;21;29;
>random_seq_from_cds__NO_38728;78;45;46;48;53;59;
>random_seq_from_cds__NO_45010;98;33;30;31;29;34;
>random_seq_from_cds__NO_13428;85;49;50;57;58;63;
>hsa-mir-4440 MI0016783 Homo sapiens miR-4440 stem-loop;98;40;46;53;64;68;
>random_seq_from_cds__NO_32198;90;42;43;43;46;52;
>random_seq_from_cds__NO_24546;71;31;32;32;34;35;
>random_seq_from_cds__NO_21038;84;32;36;39;51;55;
>random_seq_from_cds__NO_8982;86;43;43;49;52;52;
>hsa-mir-4266 MI0015870 Homo sapiens miR-4266 stem-loop;55;6;6;8;13;19;
>hsa-mir-655 MI0003677 Homo sapiens miR-655 stem-loop;97;13;16;17;19;20;
>hsa-mir-5589 MI0019148 Homo sapiens miR-5589 stem-loop;60;2;4;9;11;14;
>hsa-mir-4669 MI0017300 Homo sapiens miR-4669 stem-loop;62;5;6;6;6;7;
>hsa-mir-4775 MI0017418 Homo sapiens miR-4775 stem-loop;75;5;5;5;6;6;
>random_seq_from_cds__NO_9825;84;51;53;59;54;52;
>random_seq_from_cds__NO_6315;67;25;22;25;25;26;
>random_seq_from_cds__NO_25872;97;49;52;57;62;70;
>hsa-mir-384 MI0001145 Homo sapiens miR-384 stem-loop;88;54;55;61;66;54;
>random_seq_from_cds__NO_48532;82;42;43;43;49;54;
>random_seq_from_cds__NO_67272;68;27;32;37;38;44;
>random_seq_from_cds__NO_48531;81;29;34;42;45;46;
>random_seq_from_cds__NO_11261;84;43;47;51;52;54;
>hsa-mir-3173 MI0014204 Homo sapiens miR-3173 stem-loop;68;1;1;2;3;5;
>random_seq_from_cds__NO_70432;81;29;34;41;47;48;
>random_seq_from_cds__NO_4593;73;35;38;40;39;40;
>random_seq_from_cds__NO_62808;81;33;36;41;45;46;
>hsa-mir-4536-1 MI0016906 Homo sapiens miR-4536-1 stem-loop;88;21;21;23;33;32;
>hsa-mir-1912 MI0008333 Homo sapiens miR-1912 stem-loop;80;19;21;21;21;28;
>hsa-mir-320a MI0000542 Homo sapiens miR-320a stem-loop;82;4;4;6;8;10;
>random_seq_from_cds__NO_22396;82;41;43;45;53;52;
>hsa-mir-5683 MI0019284 Homo sapiens miR-5683 stem-loop;76;3;3;3;6;10;
>hsa-mir-10b MI0000267 Homo sapiens miR-10b stem-loop;110;10;10;13;17;25;
>random_seq_from_cds__NO_35680;110;68;71;73;71;77;
>hsa-mir-4787 MI0017434 Homo sapiens miR-4787 stem-loop;84;8;9;9;9;13;
>hsa-mir-4258 MI0015857 Homo sapiens miR-4258 stem-loop;91;6;8;9;12;14;
>random_seq_from_cds__NO_37862;84;44;43;45;51;55;
>hsa-mir-3197 MI0014245 Homo sapiens miR-3197 stem-loop;73;16;16;18;21;24;
>hsa-mir-373 MI0000781 Homo sapiens miR-373 stem-loop;69;4;3;5;9;11;
>random_seq_from_cds__NO_71754;87;32;35;40;44;47;
>random_seq_from_cds__NO_34354;85;49;51;52;54;55;
>hsa-mir-4494 MI0016856 Homo sapiens miR-4494 stem-loop;84;5;6;7;10;9;
>hsa-mir-191 MI0000465 Homo sapiens miR-191 stem-loop;92;6;6;7;10;12;
>hsa-mir-3196 MI0014241 Homo sapiens miR-3196 stem-loop;64;17;19;18;20;22;
>random_seq_from_cds__NO_60628;90;44;45;47;54;50;
>random_seq_from_cds__NO_3274;80;17;18;21;36;51;
>hsa-mir-5002 MI0017868 Homo sapiens miR-5002 stem-loop;97;10;12;14;21;21;
>hsa-mir-4427 MI0016766 Homo sapiens miR-4427 stem-loop;68;23;21;23;26;27;
>random_seq_from_cds__NO_8951;83;53;51;51;54;60;
>hsa-mir-4687 MI0017319 Homo sapiens miR-4687 stem-loop;80;11;11;11;9;12;
>random_seq_from_cds__NO_28921;110;48;57;61;63;68;
>hsa-mir-3916 MI0016422 Homo sapiens miR-3916 stem-loop;94;21;27;24;28;34;
>random_seq_from_cds__NO_68582;89;38;41;42;50;56;
>hsa-mir-6130 MI0021275 Homo sapiens miR-6130 stem-loop;109;21;26;30;59;65;
>hsa-mir-4434 MI0016774 Homo sapiens miR-4434 stem-loop;53;9;9;11;16;17;
>hsa-mir-148b MI0000811 Homo sapiens miR-148b stem-loop;99;22;19;20;26;32;
>random_seq_from_cds__NO_69029;110;36;34;33;42;51;
>hsa-mir-1245b MI0017431 Homo sapiens miR-1245b stem-loop;69;6;7;8;9;11;
>hsa-mir-301a MI0000745 Homo sapiens miR-301a stem-loop;86;6;8;8;12;13;
>hsa-mir-4521 MI0016887 Homo sapiens miR-4521 stem-loop;60;18;18;20;23;25;
>random_seq_from_cds__NO_1057;96;14;20;26;32;33;
>random_seq_from_cds__NO_2392;81;37;39;43;48;51;
>random_seq_from_cds__NO_50891;110;70;69;67;66;66;
>hsa-mir-629 MI0003643 Homo sapiens miR-629 stem-loop;97;5;5;5;6;7;
>hsa-mir-4291 MI0015900 Homo sapiens miR-4291 stem-loop;65;26;25;26;28;28;
>random_seq_from_cds__NO_59691;89;51;58;58;70;74;
>hsa-mir-4659a MI0017287 Homo sapiens miR-4659a stem-loop;81;4;4;7;11;11;
>random_seq_from_cds__NO_61533;110;32;40;47;69;72;
>random_seq_from_cds__NO_60202;95;57;60;63;65;69;
>hsa-mir-3676 MI0016077 Homo sapiens miR-3676 stem-loop;85;27;30;33;50;60;
>random_seq_from_cds__NO_62866;67;29;30;34;39;44;
>random_seq_from_cds__NO_60687;90;29;30;32;38;53;
>random_seq_from_cds__NO_60205;86;41;45;50;57;62;
>random_seq_from_cds__NO_4581;75;23;23;23;39;44;
>random_seq_from_cds__NO_56184;88;37;37;41;49;56;
>hsa-mir-1294 MI0006356 Homo sapiens miR-1294 stem-loop;142;12;12;14;17;21;
>random_seq_from_cds__NO_6758;87;48;52;57;63;70;
>random_seq_from_cds__NO_28940;81;30;35;38;43;46;
>hsa-mir-4648 MI0017275 Homo sapiens miR-4648 stem-loop;72;29;32;33;36;36;
>hsa-mir-876 MI0005542 Homo sapiens miR-876 stem-loop;81;4;1;1;2;3;
>hsa-mir-302e MI0006417 Homo sapiens miR-302e stem-loop;72;20;22;25;32;33;
>random_seq_from_cds__NO_15637;87;38;43;51;57;58;
>hsa-mir-1225 MI0006311 Homo sapiens miR-1225 stem-loop;90;20;25;29;42;53;
>random_seq_from_cds__NO_72651;88;44;47;53;65;68;
>hsa-mir-4293 MI0015826 Homo sapiens miR-4293 stem-loop;78;40;41;43;55;56;
>random_seq_from_cds__NO_6721;110;55;52;57;66;73;
>random_seq_from_cds__NO_26797;82;40;43;47;49;49;
>random_seq_from_cds__NO_59207;78;36;35;37;43;48;
>hsa-mir-3684 MI0016085 Homo sapiens miR-3684 stem-loop;74;5;5;5;8;10;
>random_seq_from_cds__NO_41909;110;65;72;76;74;77;
>hsa-mir-4795 MI0017442 Homo sapiens miR-4795 stem-loop;89;5;6;5;7;8;
>hsa-mir-603 MI0003616 Homo sapiens miR-603 stem-loop;97;17;15;17;20;21;
>hsa-mir-922 MI0005714 Homo sapiens miR-922 stem-loop;81;18;22;27;36;44;
>random_seq_from_cds__NO_44182;89;34;38;45;67;66;
>random_seq_from_cds__NO_69484;84;37;39;42;50;59;
>hsa-mir-4773-2 MI0017416 Homo sapiens miR-4773-2 stem-loop;78;1;1;2;2;2;
>hsa-mir-4709 MI0017342 Homo sapiens miR-4709 stem-loop;72;28;28;27;32;39;
>hsa-mir-3134 MI0014155 Homo sapiens miR-3134 stem-loop;74;5;5;4;4;4;
>hsa-mir-5195 MI0018174 Homo sapiens miR-5195 stem-loop;115;10;14;14;19;29;
>hsa-mir-4513 MI0016879 Homo sapiens miR-4513 stem-loop;86;14;15;18;20;22;
>random_seq_from_cds__NO_11299;82;32;36;40;47;50;
>hsa-mir-183 MI0000273 Homo sapiens miR-183 stem-loop;110;13;14;14;31;35;
>random_seq_from_cds__NO_61996;81;43;45;50;58;55;
>hsa-mir-4491 MI0016853 Homo sapiens miR-4491 stem-loop;68;4;4;4;6;7;
>hsa-mir-1203 MI0006335 Homo sapiens miR-1203 stem-loop;85;47;49;56;57;66;
>random_seq_from_cds__NO_33066;98;38;42;42;55;61;
>random_seq_from_cds__NO_60667;70;32;30;30;36;39;
>random_seq_from_cds__NO_11291;88;42;45;52;55;61;
>hsa-mir-3139 MI0014162 Homo sapiens miR-3139 stem-loop;76;20;20;17;19;22;
>hsa-mir-4762 MI0017403 Homo sapiens miR-4762 stem-loop;75;6;7;7;8;9;
>random_seq_from_cds__NO_6731;72;17;18;18;26;37;
>random_seq_from_cds__NO_24123;80;45;50;51;53;56;
>random_seq_from_cds__NO_24125;82;20;22;28;36;48;
>random_seq_from_cds__NO_4557;86;41;46;50;51;58;
>hsa-mir-29b-2 MI0000107 Homo sapiens miR-29b-2 stem-loop;81;8;8;10;13;16;
>hsa-mir-4431 MI0016771 Homo sapiens miR-4431 stem-loop;94;2;2;3;7;7;
>random_seq_from_cds__NO_51717;75;27;29;28;35;42;
>random_seq_from_cds__NO_70856;71;20;23;22;29;34;
>random_seq_from_cds__NO_46744;68;22;29;31;29;33;
>hsa-mir-4265 MI0015869 Homo sapiens miR-4265 stem-loop;99;60;63;70;71;73;
>hsa-mir-3911 MI0016415 Homo sapiens miR-3911 stem-loop;109;34;46;51;55;55;
>hsa-mir-138-2 MI0000455 Homo sapiens miR-138-2 stem-loop;84;6;8;9;14;18;
>random_seq_from_cds__NO_22779;70;29;31;35;39;41;
>random_seq_from_cds__NO_9420;85;27;29;35;46;56;
>random_seq_from_cds__NO_57406;80;45;48;55;58;65;
>random_seq_from_cds__NO_56559;88;49;50;54;60;59;
>random_seq_from_cds__NO_53049;95;64;63;63;67;70;
>random_seq_from_cds__NO_10311;99;14;15;18;27;38;
>hsa-mir-652 MI0003667 Homo sapiens miR-652 stem-loop;98;7;7;9;9;7;
>random_seq_from_cds__NO_70849;81;39;42;49;50;53;
>hsa-mir-101-2 MI0000739 Homo sapiens miR-101-2 stem-loop;79;5;5;6;12;18;
>random_seq_from_cds__NO_68524;70;37;38;36;41;43;
>hsa-mir-577 MI0003584 Homo sapiens miR-577 stem-loop;96;16;16;16;13;12;
>random_seq_from_cds__NO_1946;92;35;38;41;51;59;
>random_seq_from_cds__NO_1940;98;36;38;46;62;66;
>hsa-mir-23c MI0016010 Homo sapiens miR-23c stem-loop;100;22;29;36;60;68;
>hsa-mir-204 MI0000284 Homo sapiens miR-204 stem-loop;110;23;27;32;40;40;
>hsa-mir-3116-2 MI0014129 Homo sapiens miR-3116-2 stem-loop;68;3;3;3;3;3;
>random_seq_from_cds__NO_24946;78;32;34;39;41;46;
>random_seq_from_cds__NO_53038;87;53;57;58;54;55;
>random_seq_from_cds__NO_13811;81;41;41;37;51;49;
>hsa-mir-4645 MI0017272 Homo sapiens miR-4645 stem-loop;77;2;2;2;3;4;
>random_seq_from_cds__NO_46727;85;42;44;43;52;57;
>random_seq_from_cds__NO_44543;72;26;30;33;41;42;
>random_seq_from_cds__NO_46723;70;33;36;38;46;50;
>random_seq_from_cds__NO_31230;68;23;27;29;30;33;
>random_seq_from_cds__NO_68519;88;49;49;51;56;56;
>random_seq_from_cds__NO_52172;82;26;26;27;29;27;
>random_seq_from_cds__NO_31236;81;23;24;25;42;43;
>hsa-mir-30b MI0000441 Homo sapiens miR-30b stem-loop;88;11;11;11;19;23;
>hsa-mir-1269a MI0006406 Homo sapiens miR-1269a stem-loop;105;11;10;11;13;15;
>hsa-mir-4651 MI0017279 Homo sapiens miR-4651 stem-loop;73;17;19;22;32;39;
>random_seq_from_cds__NO_20132;81;30;40;46;56;58;
>hsa-mir-4798 MI0017445 Homo sapiens miR-4798 stem-loop;75;2;3;3;4;5;
>hsa-mir-5692b MI0019311 Homo sapiens miR-5692b stem-loop;87;20;23;24;36;43;
>random_seq_from_cds__NO_13842;71;33;35;33;34;34;
>hsa-mir-31 MI0000089 Homo sapiens miR-31 stem-loop;71;4;4;4;7;7;
>hsa-mir-4636 MI0017263 Homo sapiens miR-4636 stem-loop;80;5;5;6;7;9;
>random_seq_from_cds__NO_66330;67;26;29;33;40;39;
>hsa-mir-616 MI0003629 Homo sapiens miR-616 stem-loop;97;7;8;9;10;11;
>hsa-mir-3681 MI0016082 Homo sapiens miR-3681 stem-loop;72;3;3;4;4;5;
>random_seq_from_cds__NO_33420;88;43;47;47;50;59;
>hsa-mir-5192 MI0018171 Homo sapiens miR-5192 stem-loop;92;8;13;16;20;23;
>random_seq_from_cds__NO_52165;95;54;53;56;59;61;
>random_seq_from_cds__NO_54344;87;45;48;52;62;52;
>hsa-mir-4681 MI0017313 Homo sapiens miR-4681 stem-loop;72;21;21;21;27;30;
>random_seq_from_cds__NO_33424;88;42;48;54;56;57;
>hsa-mir-3928 MI0016438 Homo sapiens miR-3928 stem-loop;58;5;5;5;5;5;
>random_seq_from_cds__NO_41042;82;40;43;45;53;53;
>hsa-mir-4276 MI0015882 Homo sapiens miR-4276 stem-loop;70;31;31;30;36;42;
>random_seq_from_cds__NO_64140;73;33;34;35;37;42;
>hsa-mir-3125 MI0014142 Homo sapiens miR-3125 stem-loop;78;10;14;13;17;26;
>random_seq_from_cds__NO_65471;110;67;71;72;73;76;
>random_seq_from_cds__NO_70815;68;26;31;30;32;39;
>hsa-mir-5587 MI0019144 Homo sapiens miR-5587 stem-loop;53;3;3;3;7;9;
>hsa-mir-1197 MI0006656 Homo sapiens miR-1197 stem-loop;88;17;18;20;38;54;
>hsa-mir-6513 MI0022225 Homo sapiens miR-6513 stem-loop;64;15;19;21;27;34;
>random_seq_from_cds__NO_69426;81;13;16;22;35;51;
>hsa-mir-549a MI0003679 Homo sapiens miR-549 stem-loop;96;8;9;11;14;13;
>hsa-mir-1286 MI0006348 Homo sapiens miR-1286 stem-loop;78;14;19;24;28;29;
>random_seq_from_cds__NO_56590;77;23;25;28;36;45;
>hsa-mir-1234 MI0006324 Homo sapiens miR-1234 stem-loop;84;22;25;20;27;25;
>random_seq_from_cds__NO_49817;82;45;49;47;47;50;
>random_seq_from_cds__NO_7683;75;40;39;37;46;48;
>random_seq_from_cds__NO_5498;84;48;51;56;62;66;
>hsa-mir-142 MI0000458 Homo sapiens miR-142 stem-loop;87;7;7;7;9;12;
>hsa-mir-106b MI0000734 Homo sapiens miR-106b stem-loop;82;9;9;12;12;14;
>hsa-mir-6505 MI0022217 Homo sapiens miR-6505 stem-loop;71;15;18;21;29;39;
>hsa-mir-3160-2 MI0014190 Homo sapiens miR-3160-2 stem-loop;81;1;1;1;1;1;
>random_seq_from_cds__NO_7695;85;52;53;50;54;60;
>random_seq_from_cds__NO_5031;110;29;30;35;71;73;
>random_seq_from_cds__NO_33009;99;58;60;64;69;76;
>random_seq_from_cds__NO_50800;88;40;41;45;57;59;
>random_seq_from_cds__NO_43284;97;36;40;40;60;68;
>hsa-mir-32 MI0000090 Homo sapiens miR-32 stem-loop;70;6;7;8;10;13;
>random_seq_from_cds__NO_45461;87;49;52;58;58;67;
>random_seq_from_cds__NO_67233;72;36;35;36;42;43;
>random_seq_from_cds__NO_48948;85;25;29;28;33;39;
>hsa-mir-548h-4 MI0006414 Homo sapiens miR-548h-4 stem-loop;111;8;9;9;9;11;
>random_seq_from_cds__NO_26714;82;35;42;45;47;53;
>random_seq_from_cds__NO_31272;99;45;50;57;64;66;
>hsa-mir-3907 MI0016410 Homo sapiens miR-3907 stem-loop;151;14;15;17;25;32;
>hsa-mir-505 MI0003190 Homo sapiens miR-505 stem-loop;84;7;7;7;7;10;
>hsa-mir-4281 MI0015885 Homo sapiens miR-4281 stem-loop;62;21;23;25;32;32;
>hsa-mir-181c MI0000271 Homo sapiens miR-181c stem-loop;110;24;25;29;42;54;
>random_seq_from_cds__NO_25860;94;53;55;59;70;75;
>random_seq_from_cds__NO_55248;84;15;14;17;25;36;
>random_seq_from_cds__NO_41073;85;36;44;44;47;50;
>hsa-mir-4268 MI0015874 Homo sapiens miR-4268 stem-loop;64;11;12;12;15;18;
>hsa-mir-4639 MI0017266 Homo sapiens miR-4639 stem-loop;69;13;15;14;15;22;
>hsa-mir-940 MI0005762 Homo sapiens miR-940 stem-loop;94;23;23;26;32;45;
>hsa-mir-4450 MI0016795 Homo sapiens miR-4450 stem-loop;65;7;9;12;17;22;
>random_seq_from_cds__NO_48958;110;69;71;74;77;81;
>hsa-mir-223 MI0000300 Homo sapiens miR-223 stem-loop;110;17;20;23;30;35;
>hsa-mir-4641 MI0017268 Homo sapiens miR-4641 stem-loop;66;3;4;7;10;11;
>hsa-mir-106a MI0000113 Homo sapiens miR-106a stem-loop;81;5;8;8;14;14;
>hsa-mir-4739 MI0017377 Homo sapiens miR-4739 stem-loop;74;8;10;12;13;14;
>random_seq_from_cds__NO_23674;83;40;43;51;55;56;
>random_seq_from_cds__NO_55237;82;33;36;36;47;54;
>random_seq_from_cds__NO_41087;84;32;40;43;43;48;
>hsa-mir-5584 MI0019141 Homo sapiens miR-5584 stem-loop;60;6;6;6;8;9;
>random_seq_from_cds__NO_11217;88;40;49;54;52;61;
>random_seq_from_cds__NO_66878;96;55;58;60;60;67;
>random_seq_from_cds__NO_1530;90;46;51;54;65;56;
>hsa-mir-5006 MI0017873 Homo sapiens miR-5006 stem-loop;110;26;25;25;30;32;
>random_seq_from_cds__NO_52232;70;19;20;27;32;36;
>random_seq_from_cds__NO_52238;81;38;44;45;52;52;
>random_seq_from_cds__NO_29447;77;40;40;42;49;48;
>random_seq_from_cds__NO_28116;81;23;30;37;48;55;
>hsa-mir-3943 MI0016600 Homo sapiens miR-3943 stem-loop;100;15;17;20;24;23;
>hsa-mir-15a MI0000069 Homo sapiens miR-15a stem-loop;83;14;13;13;13;20;
>hsa-mir-3978 MI0016996 Homo sapiens miR-3978 stem-loop;101;23;26;28;37;60;
>hsa-mir-3120 MI0014136 Homo sapiens miR-3120 stem-loop;81;16;16;18;19;19;
>hsa-mir-591 MI0003603 Homo sapiens miR-591 stem-loop;95;52;54;59;70;73;
>hsa-mir-548ae-1 MI0016779 Homo sapiens miR-548ae-1 stem-loop;70;16;18;19;21;21;
>hsa-mir-4284 MI0015893 Homo sapiens miR-4284 stem-loop;81;25;29;29;42;49;
>random_seq_from_cds__NO_33957;70;26;26;25;28;35;
>random_seq_from_cds__NO_41103;78;43;45;45;46;49;
>hsa-mir-4699 MI0017332 Homo sapiens miR-4699 stem-loop;74;2;4;5;4;5;
>random_seq_from_cds__NO_41105;85;21;23;27;27;28;
>hsa-mir-1972-1 MI0009982 Homo sapiens miR-1972-1 stem-loop;77;10;10;11;13;16;
>random_seq_from_cds__NO_17459;92;43;45;50;54;58;
>random_seq_from_cds__NO_64687;70;26;28;28;37;42;
>hsa-mir-4275 MI0015883 Homo sapiens miR-4275 stem-loop;87;12;17;19;25;30;
>random_seq_from_cds__NO_37080;84;40;40;44;46;51;
>random_seq_from_cds__NO_55733;84;37;42;49;57;62;
>random_seq_from_cds__NO_52223;97;66;70;73;71;78;
>hsa-let-7f-2 MI0000068 Homo sapiens let-7f-2 stem-loop;83;9;9;10;10;15;
>hsa-mir-382 MI0000790 Homo sapiens miR-382 stem-loop;76;9;9;11;10;12;
>hsa-mir-6510 MI0022222 Homo sapiens miR-6510 stem-loop;54;5;5;9;11;12;
>random_seq_from_cds__NO_2873;68;30;30;32;36;40;
>hsa-mir-585 MI0003592 Homo sapiens miR-585 stem-loop;94;6;6;8;11;13;
>hsa-mir-4458 MI0016804 Homo sapiens miR-4458 stem-loop;75;11;13;13;26;35;
>random_seq_from_cds__NO_52228;82;44;41;42;48;55;
>hsa-mir-649 MI0003664 Homo sapiens miR-649 stem-loop;97;31;28;32;33;47;
>hsa-mir-3926-1 MI0016434 Homo sapiens miR-3926-1 stem-loop;73;1;1;1;1;1;
>random_seq_from_cds__NO_64678;100;52;57;64;62;61;
>hsa-mir-151b MI0003772 Homo sapiens miR-151b stem-loop;96;18;26;36;58;70;
>hsa-mir-612 MI0003625 Homo sapiens miR-612 stem-loop;100;27;25;25;34;42;
>hsa-mir-34b MI0000742 Homo sapiens miR-34b stem-loop;84;8;9;12;23;36;
>random_seq_from_cds__NO_38384;85;38;42;51;54;57;
>hsa-mir-5703 MI0019310 Homo sapiens miR-5703 stem-loop;56;3;2;2;3;4;
>hsa-mir-4706 MI0017339 Homo sapiens miR-4706 stem-loop;82;8;8;9;15;17;
>hsa-mir-3177 MI0014211 Homo sapiens miR-3177 stem-loop;82;20;19;17;14;11;
>random_seq_from_cds__NO_48188;84;43;46;41;42;49;
>hsa-mir-149 MI0000478 Homo sapiens miR-149 stem-loop;89;10;13;14;19;29;
>random_seq_from_cds__NO_64664;86;30;32;32;44;52;
>random_seq_from_cds__NO_31766;86;38;38;45;51;56;
>random_seq_from_cds__NO_72281;87;39;46;44;51;56;
>hsa-mir-1180 MI0006273 Homo sapiens miR-1180 stem-loop;69;7;7;7;10;11;
>random_seq_from_cds__NO_3704;89;33;36;36;50;58;
>random_seq_from_cds__NO_66437;94;57;62;60;58;67;
>random_seq_from_cds__NO_18353;85;13;15;20;29;31;
>random_seq_from_cds__NO_9465;82;50;55;51;50;47;
>hsa-mir-4715 MI0017349 Homo sapiens miR-4715 stem-loop;79;2;2;3;4;4;
>random_seq_from_cds__NO_50099;110;63;65;65;69;70;
>hsa-mir-7-3 MI0000265 Homo sapiens miR-7-3 stem-loop;110;47;42;52;56;66;
>hsa-mir-3679 MI0016080 Homo sapiens miR-3679 stem-loop;68;4;4;4;5;9;
>hsa-mir-4320 MI0015849 Homo sapiens miR-4320 stem-loop;65;26;26;27;30;29;
>hsa-mir-3130-2 MI0014148 Homo sapiens miR-3130-2 stem-loop;75;1;1;1;1;1;
>hsa-mir-3123 MI0014139 Homo sapiens miR-3123 stem-loop;75;8;9;9;9;11;
>hsa-mir-4663 MI0017292 Homo sapiens miR-4663 stem-loop;76;9;11;13;19;20;
>random_seq_from_cds__NO_64243;89;45;46;45;50;55;
>hsa-mir-1298 MI0003938 Homo sapiens miR-1298 stem-loop;112;18;18;18;20;23;
>random_seq_from_cds__NO_62069;69;24;28;28;36;33;
>hsa-mir-3135b MI0016809 Homo sapiens miR-3135b stem-loop;68;14;16;19;30;34;
>hsa-mir-3662 MI0016063 Homo sapiens miR-3662 stem-loop;95;46;49;54;69;67;
>random_seq_from_cds__NO_53114;84;42;48;48;50;52;
>random_seq_from_cds__NO_30015;87;34;39;40;43;51;
>random_seq_from_cds__NO_34855;73;28;31;37;38;43;
